date,owner,repo,stars,clones,unique_clones,views,unique_views
2026-02-17,timf34,arxiv2md,73,5,5,3,2
2026-02-18,timf34,arxiv2md,73,5,5,3,2
2026-02-19,timf34,arxiv2md,73,1,1,9,5
2026-02-20,timf34,arxiv2md,75,0,0,13,5
2026-02-21,timf34,arxiv2md,82,5,5,3,2
2026-02-22,timf34,arxiv2md,83,4,4,20,13
2026-02-23,timf34,arxiv2md,84,3,3,20,13
2026-02-24,timf34,arxiv2md,89,4,4,20,13
2026-02-25,timf34,arxiv2md,91,1,1,29,13
2026-02-26,timf34,arxiv2md,92,3,3,29,8
2026-02-27,timf34,arxiv2md,93,4,4,9,7
2026-02-28,timf34,arxiv2md,96,1,1,11,6
2026-03-01,timf34,arxiv2md,96,2,2,19,5
2026-03-02,timf34,arxiv2md,96,4,4,16,10
2026-03-03,timf34,arxiv2md,97,2,2,22,9
2026-03-04,timf34,arxiv2md,97,9,9,75,12
2026-03-05,timf34,arxiv2md,97,4,3,6,5
2026-03-06,timf34,arxiv2md,98,1,1,4,3
2026-03-07,timf34,arxiv2md,99,1,1,23,12
2026-03-08,timf34,arxiv2md,101,8,3,42,7
2026-03-09,timf34,arxiv2md,102,1,1,14,11
2026-03-10,timf34,arxiv2md,103,5,5,14,7
2026-03-11,timf34,arxiv2md,107,4,3,5,3
2026-03-12,timf34,arxiv2md,108,35,22,46,11
2026-03-13,timf34,arxiv2md,109,36,14,28,18
2026-03-14,timf34,arxiv2md,111,3,3,32,17
2026-03-15,timf34,arxiv2md,112,5,2,41,8
2026-03-16,timf34,arxiv2md,113,1,1,7,7
2026-03-17,timf34,arxiv2md,113,2,2,13,9
2026-03-18,timf34,arxiv2md,114,3,3,10,6
2026-03-19,timf34,arxiv2md,114,1,1,17,11
2026-03-20,timf34,arxiv2md,115,15,7,25,7
2026-03-21,timf34,arxiv2md,116,13,8,7,5
2026-03-22,timf34,arxiv2md,116,3,3,3,2
2026-03-23,timf34,arxiv2md,116,1,1,13,8
2026-03-24,timf34,arxiv2md,118,2,1,5,4
2026-03-25,timf34,arxiv2md,118,2,2,14,10
2026-03-26,timf34,arxiv2md,119,5,2,24,16
2026-03-27,timf34,arxiv2md,122,7,4,31,10
2026-03-28,timf34,arxiv2md,123,5,4,31,16
2026-03-29,timf34,arxiv2md,123,2,2,20,12
2026-03-30,timf34,arxiv2md,124,5,4,15,8
2026-03-31,timf34,arxiv2md,125,7,5,17,10
2026-04-01,timf34,arxiv2md,125,32,22,42,14
2026-04-02,timf34,arxiv2md,125,16,11,4,4
2026-04-03,timf34,arxiv2md,125,3,2,7,4
2026-04-04,timf34,arxiv2md,125,13,8,37,8
2026-04-05,timf34,arxiv2md,126,2,2,38,10
2026-04-06,timf34,arxiv2md,126,1,1,24,12
2026-04-07,timf34,arxiv2md,127,2,2,34,13
2026-04-08,timf34,arxiv2md,128,4,4,32,17
2026-04-09,timf34,arxiv2md,128,6,6,19,15
2026-04-10,timf34,arxiv2md,129,11,6,29,15
2026-04-11,timf34,arxiv2md,131,2,2,26,16
2026-04-12,timf34,arxiv2md,134,18,12,40,15
2026-04-13,timf34,arxiv2md,134,51,26,51,12
2026-04-14,timf34,arxiv2md,136,5,4,25,12
2026-04-15,timf34,arxiv2md,138,5,4,25,14
2026-04-16,timf34,arxiv2md,139,3,3,41,14
2026-04-17,timf34,arxiv2md,140,3,3,23,11
2026-04-18,timf34,arxiv2md,143,4,3,37,16
2026-04-19,timf34,arxiv2md,143,4,4,37,19
2026-04-20,timf34,arxiv2md,143,5,5,25,13
2026-04-21,timf34,arxiv2md,145,4,4,18,11
